X,Y
111.59436,-7.84029
111.494531,-8.892571
112.873446,-9.839269
111.776506,-9.167142
112.343376,-8.629266
111.201351,-8.951149
111.310783,-9.003709
110.831047,-8.858767
111.816048,-8.702965
111.571948,-8.529448
111.299023,-8.999157
110.609904,10.294325
112.790202,-9.664987
111.177718,-9.054715
112.619499,-9.130402
112.894629,-9.276789
112.860539,-9.239273
110.840112,-6.030449
112.510059,-8.860337
111.144246,-8.833854
111.496704,-8.871276
111.35271,-8.748034
111.462785,-8.868843
111.223071,-8.679732
110.664982,-8.996092
112.081641,-7.930805
111.706185,-8.679638
112.861947,-9.472248
112.748722,-8.048797
111.311849,-9.062217
110.67015,-9.053947
111.988078,-9.774865
112.588192,11.200087
111.586344,-8.33746
112.556608,-9.211985
110.397371,-9.129656
112.570964,-8.341178
110.547095,-9.038858
110.550366,-9.009042
110.808569,-8.788388
111.454435,-8.535558
110.718042,-8.65639
112.468384,-8.833051
112.507926,-9.287518
112.796606,-9.545028
110.400358,-9.487807
111.562231,-8.725786
110.210588,-8.862902
112.95835,-9.244417
111.629679,-7.848922
112.423397,-9.108735
110.405941,-8.082098
112.707756,-9.53538
111.050138,-8.46971
111.863574,10.999628
112.38597,-8.703138
110.483032,-9.484964
110.301408,-9.263283
111.208789,-8.929516
112.84974,-9.08552
112.52041,-6.848349
110.5507,-9.120027
110.784985,-8.715151
112.992025,10.115993
112.164176,-9.056053
112.426367,10.619499
111.728174,-9.018405
112.824097,-8.752201
109.977808,-9.017235
112.268473,-8.040762
112.878906,-9.531778
112.837549,-9.52303
111.895353,-8.368476
112.113924,-8.519883
112.661198,-8.307316
112.422005,-9.244338
111.797575,-7.412649
110.311637,-8.797446
112.825155,-9.338347
110.187923,-9.004972
110.159229,-8.945571
112.925732,-9.608181
112.951147,-9.506455
112.637988,-9.149334
111.240755,-9.125507
112.653247,-8.53939
111.448503,-8.672029
111.355339,-8.682512
110.473755,-9.087847
110.530477,-5.929324
111.923657,11.225471
110.314046,-8.889953
110.150586,-9.12722
112.452043,-8.901195
112.960986,-9.799122
113.015316,-9.86155
113.001066,-9.705853
112.129655,-8.982325
