X          Y          VP
111.594360 -7.840290   8.432
111.494531 -8.892571  20.169 
112.873446 -9.839269  13.527 
111.776506 -9.167142 102.699 
112.343376 -8.629266  86.958 
111.201351 -8.951149  74.712 
111.310783 -9.003709  15.314 
110.831047 -8.858767  75.255 
111.816048 -8.702965  62.972 
111.571948 -8.529448  25.388 
111.299023 -8.999157  18.871 
110.609904 -10.29432  20.3905 
112.790202 -9.664987  38.283 
111.177718 -9.054715  19.947 
112.619499 -9.130402   4.920 
112.894629 -9.276789   1.286 
112.860539 -9.239273   9.154 
110.840112 -6.030449 143.477 
112.510059 -8.860337  50.433 
111.144246 -8.833854  70.951 
111.496704 -8.871276  13.732 
111.352710 -8.748034  53.343 
111.462785 -8.868843  16.134 
111.223071 -8.679732  64.312 
110.664982 -8.996092  18.145 
112.081641 -7.930805 183.383 
111.706185 -8.679638  79.266 
112.861947 -9.472248  35.059 
112.748722 -8.048797  15.357 
111.311849 -9.062217  17.152 
110.670150 -9.053947  20.648 
111.988078 -9.774865  89.751 
112.588192 -11.20008  39.6617 
111.586344 -8.337460  93.757 
112.556608 -9.211985  62.183 
110.397371 -9.129656  18.434 
112.570964 -8.341178 158.311 
110.547095 -9.038858   9.684 
110.550366 -9.009042  13.919 
110.808569 -8.788388  15.609 
111.454435 -8.535558 110.438 
110.718042 -8.656390  11.614 
112.468384 -8.833051  61.545 
112.507926 -9.287518  33.578 
112.796606 -9.545028  40.082 
110.400358 -9.487807   9.034 
111.562231 -8.725786  11.610 
110.210588 -8.862902  22.186 
112.958350 -9.244417  65.387 
111.629679 -7.848922  25.168 
112.423397 -9.108735  65.601 
110.405941 -8.082098   3.117 
112.707756 -9.535380  14.556 
111.050138 -8.469710   7.471 
111.863574 -10.99962   2.9878 
112.385970 -8.703138  67.335 
110.483032 -9.484964  17.036 
110.301408 -9.263283  15.633 
111.208789 -8.929516  14.370 
112.849740 -9.085520  39.355 
112.520410 -6.848349   7.303 
110.550700 -9.120027  64.276 
110.784985 -8.715151   8.570 
112.992025 -10.11599 127.6873 
112.164176 -9.056053  28.033 
112.426367 -10.61949  10.9999 
111.728174 -9.018405  47.546 
112.824097 -8.752201 123.270 
109.977808 -9.017235   3.005 
112.268473 -8.040762 174.781 
112.878906 -9.531778   6.150 
112.837549 -9.523030  12.682 
111.895353 -8.368476 115.360 
112.113924 -8.519883  98.768 
112.661198 -8.307316  99.095 
112.422005 -9.244338  58.615 
111.797575 -7.412649 236.239 
110.311637 -8.797446  17.561 
112.825155 -9.338347   4.390 
110.187923 -9.004972  18.408 
110.159229 -8.945571   3.788 
112.925732 -9.608181   2.672 
112.951147 -9.506455  16.543 
112.637988 -9.149334  51.959 
111.240755 -9.125507  22.871 
112.653247 -8.539390 142.328 
111.448503 -8.672029  88.824 
111.355339 -8.682512  77.451 
110.473755 -9.087847   3.072 
110.530477 -5.929324  -0.772 
111.923657 -11.22547  59.2891 
110.314046 -8.889953  82.590 
110.150586 -9.127220  19.324 
112.452043 -8.901195  23.571 
112.960986 -9.799122   0.837 
113.015316 -9.861550  11.858 
113.001066 -9.705853   9.778 
112.129655 -8.982325  98.679 
112.991813 -9.678000   3.990 
112.952336 -9.730215   5.005 
111.830737 -7.621994  18.648 
112.123568 -7.567735 191.388 
112.695923 -10.63640   2.9024 
112.527759 -9.400130  11.671 
112.645190 -10.20968  14.5748 
111.495256 -8.206367 139.032 
110.484863 -8.876578  14.552 
110.552043 -10.25398   7.3834 
111.320565 -9.089215   2.006 
110.611678 -5.667414 564.105 
111.083301 -8.699366  58.706 
112.292668 -9.430620  26.864 
111.021200 -10.40407  14.7162 
110.532430 -8.707627   5.235 
112.837402 -9.579048  10.487 
111.449284 -8.646982 118.091 
112.709302 -8.588786 128.943 
112.405306 -9.069304  88.469 
112.072396 -8.134383 127.478 
111.365877 -9.189869   7.036 
111.400553 -8.753789  96.016 
110.171370 -8.277485   0.771 
110.329956 -9.120435  20.156 
110.192065 -8.974332   5.917 
110.152466 -8.120751 115.066 
110.556624 -9.057237   2.499 
112.910669 -9.555389  10.482 
110.345101 -9.129926  68.449 
110.369214 -9.057958   5.321 
110.317407 -9.027927   4.833 
110.328800 -9.206847   5.070 
112.414510 -8.652938 115.732 
112.837467 -7.921216 126.267 
112.962801 -9.544270   1.651 
112.874194 -9.782729  11.986 
110.589746 -8.555673 125.637 
112.054395 -8.982817  70.205 
111.178158 -9.088182  20.844 
112.816195 -9.120453  23.907 
112.339738 -8.806243  97.740 
110.583691 -9.079202   0.907 
111.217716 -8.591027  31.417 
112.145272 -8.053064   4.943 
111.340324 -9.166913   4.871 
112.889591 -8.486271 131.093 
110.649341 -9.215989   4.175 
112.143522 -8.825195  75.124 
111.645858 -8.912502  57.824 
110.387410 -9.426227   4.268 
112.708724 -8.653572 114.498 
112.916618 -9.417528  25.998 
112.073796 -8.415430 130.957 
111.034188 -8.868125   8.834 
111.611019 -8.234383 115.427 
112.889242 -9.142161   9.635 
112.567993 -10.63830   4.3204 
111.244572 -8.672415  46.505 
112.519198 -9.015212   0.824 
111.200545 -8.949520  17.334 
111.435514 -7.808858  46.099 
111.478052 -7.913134  62.205 
111.385343 -7.762256  41.810 
111.412703 -7.662612   6.040 
110.440405 -9.071212  10.461 
112.281885 -9.006724  94.473 
110.954118 -8.908137  14.603 
110.681144 -8.841354  85.454 
110.363330 -8.795083  13.639 
112.804126 -9.394102   6.715 
111.369792 -9.136844  12.366 
110.963387 -8.881717  14.366 
112.136060 -10.76125  20.0041 
110.141992 -9.553901   2.579 
110.233276 -9.457294  32.017 
110.277694 -9.552794   6.421 
110.245467 -9.553725   3.361 
111.543612 -8.692374  36.640 
112.064201 -9.095365 116.874 
109.957772 -7.332624 267.786 
111.702686 -8.168319 102.876 
112.539478 -8.939140  27.060 
110.441650 -8.623073  74.853 
112.855526 -9.656577   7.078 
112.856746 -9.549525   3.411 
112.846387 -9.511428  11.520 
112.455086 -11.37638  46.1324 
112.551172 -8.073270   9.862 
112.798128 -8.948520  19.067 
111.368888 -8.795563  49.837 
110.515682 -8.846544   2.320 
110.437036 -8.869146  14.515 
112.259440 -10.58495   0.6647 
112.538599 -6.855784   3.766 
111.101514 -9.270840  88.584 
112.901823 -9.278255  46.303 
110.939600 -8.000187 183.431 
112.923511 -9.585224  12.097 
112.953923 -9.436201   7.211 
112.962223 -9.576249  14.986 
112.913053 -9.733488   9.544 
111.154679 -8.741486  47.435 
110.650301 -9.151623  17.257 
110.643465 -9.190376   8.710 
110.649552 -9.210502   7.246 
110.143481 -7.924711 124.621 
112.935229 -9.570632  14.068 
110.072087 -9.337865  22.640 
111.536768 -8.645957  15.707 
111.718758 -7.372012   2.247 
110.674699 -9.838784 275.564 
112.521322 -10.57443   6.0950 
111.394466 -7.928278 131.670 
110.695508 -8.524798  22.476 
110.492358 -9.273243   6.593 
111.310685 -8.703285  69.672 
110.436491 -9.328280   7.626 
110.387655 -9.040218   4.809 
111.110864 -10.73182  25.2488 
112.057674 -6.899911   2.159 
111.536589 -8.780604   7.956 
110.691512 -8.433602  14.217 
110.774194 -8.206140  87.335 
111.610514 -9.261078   6.853 
111.957153 -9.171574  12.522 
112.117725 -11.36339  11.8633 
111.692969 -10.35518  40.9353 
110.580396 -9.117769   4.436 
112.255387 -6.444138  30.552 
112.803800 -9.244448  17.334 
112.749430 -7.546295  67.300 
110.051392 -9.120703   7.387 
112.528158 -9.180276  72.447 
110.531071 -9.672229  47.161 
111.260856 -9.030983   6.921 
112.431079 -8.406842  98.883 
111.403052 -9.017846  52.478 
111.342847 -8.856387  79.501 
112.923893 -9.496722   5.223 
112.909025 -9.371019  47.952 
112.597339 -6.413503 599.044 
112.947998 -8.530099 137.914 
111.313452 -8.339347 130.685 
111.203491 -9.233611  24.728 
109.961694 -6.945392   5.056 
112.314445 -9.609825  17.616 
111.524040 -8.561175 113.033 
110.629582 -6.714805  17.705 
111.568750 -8.468643 115.748 
111.162939 -8.834352  44.880 
111.535653 -9.157611   2.414 
111.436491 -10.21310  15.9353 
111.347005 -9.094380  22.796 
110.538729 -9.052509   8.198 
110.586100 -11.05258  57.9782 
111.677051 -10.89485   5.0924 
110.490104 -9.195183  10.229 
110.678735 -8.451830  80.789 
110.562606 -9.036454   8.156 
111.851790 -8.955002  72.057 
111.371623 -8.969270  40.948 
110.731755 -8.656371   6.946 
111.803589 -8.752251  62.877 
111.402091 -8.354010 111.653 
112.506803 -8.826630  51.979 
110.569816 -9.103505   7.525 
110.482454 -8.714362  45.613 
111.994027 -9.106256   7.233 
112.805802 -9.586087  21.506 
112.772591 -8.613801 128.930 
111.935929 -10.40421   3.9277 
110.453035 -9.078334   6.614 
110.664673 -8.638914  95.717 
112.932072 -8.105595 151.987 
111.760164 -8.783868  44.215 
110.956779 -8.940833  15.937 
112.210718 -10.57927   8.2579 
110.629281 -8.907138  23.158 
110.230225 -9.150908   5.151 
111.294963 -9.134771   6.899 
110.459814 -9.017319   9.713 
