#			1
SWJI   5.80    1.000   P
PWJI   7.10    1.000   P
SWJI   9.40    1.000   S
PWJI   11.40    1.000   S
PCJI   11.70    1.000   P
PCJI   19.20    1.000   S
GMJI   32.80    1.000   P
#			2
PCJI   13.80    1.000   P
PWJI   15.80    1.000   P
SWJI   20.50    1.000   P
PCJI   23.60    1.000   S
PWJI   27.30    1.000   S
GMJI   31.60    1.000   P
SWJI   35.50    1.000   S
#			3
GMJI   27.20    1.000   P
JAGI   30.10    1.000   P
PWJI   33.30    1.000   P
BLJI   34.90    1.000   P
PCJI   37.90    1.000   P
ABJI   38.20    1.000   P
SWJI   38.40    1.000   P
KMMI   45.60    1.000   P
GRJI   45.80    1.000   P
GMJI   47.80    1.000   S
JAGI   52.70    1.000   S
PWJI   57.50    1.000   S
#			4
PWJI   20.40    1.000   P
PCJI   21.10    1.000   P
SWJI   26.20    1.000   P
GMJI   30.70    1.000   P
PWJI   37.30    1.000   S
JAGI   38.80    1.000   P
PCJI   38.80    1.000   S
SWJI   45.50    1.000   S
GMJI   54.80    1.000   S
JAGI   68.00    1.000   S
#			5
PWJI   18.60    1.000   P
SWJI   21.20    1.000   P
GMJI   22.80    1.000   P
PCJI   23.20    1.000   P
BLJI   26.80    1.000   P
GRJI   28.30    1.000   P
PWJI   29.80    1.000   S
JAGI   30.90    1.000   P
ABJI   34.30    1.000   P
KMMI   35.30    1.000   P
SWJI   37.50    1.000   S
PCJI   40.80    1.000   S
BLJI   47.90    1.000   S
JAGI   53.10    1.000   S
KPJI   54.00    1.000   P
ABJI   60.00    1.000   S
#			6
PCJI   15.10    1.000   P
PWJI   18.10    1.000   P
SWJI   23.00    1.000   P
PCJI   27.30    1.000   S
PWJI   34.00    1.000   S
SWJI   39.40    1.000   S
#			7
PCJI   14.60    1.000   P
PWJI   18.70    1.000   P
SWJI   22.70    1.000   P
PCJI   25.40    1.000   S
PWJI   31.50    1.000   S
SWJI   41.80    1.000   S
#			8
PCJI   15.60    1.000   P
PWJI   22.40    1.000   P
SWJI   24.50    1.000   P
PCJI   27.80    1.000   S
SMRI   29.60    1.000   P
SCJI   31.70    1.000   P
TBJI   34.90    1.000   P
UWJI   37.00    1.000   P
PWJI   37.10    1.000   S
KPJI   37.70    1.000   P
GRJI   38.80    1.000   P
GMJI   41.30    1.000   P
SWJI   42.80    1.000   S
BLJI   44.40    1.000   P
